"","Ensembl_ID","gene_id"
"577","ENSG00000225710","AL355149.1"
"578","ENSG00000266584","AL355149.1"
"579","ENSG00000219481","NBPF1"
"580","ENSG00000271732","AL137798.1"
"581","ENSG00000215908","CROCCP2"
"582","ENSG00000283773","AL137798.3"
"583","ENSG00000186301","MST1P2"
"584","ENSG00000282143","AL137798.2"
"585","ENSG00000207513","RNU1-3"
"586","ENSG00000237847","AL137798.1"
"587","ENSG00000280114","AL021920.2"
"588","ENSG00000264742","AL021920.1"
"589","ENSG00000236698","EIF1AXP1"
"590","ENSG00000268869","ESPNP"
"591","ENSG00000279151","AL021920.1"
"592","ENSG00000268991","AL021920.2"
"593","ENSG00000282740","AL021920.3"
"594","ENSG00000058453","CROCC"
"595","ENSG00000227684","CROCCP4"
"596","ENSG00000207389","RNU1-4"
"597","ENSG00000186715","MST1L"
"598","ENSG00000223643","BX284668.1"
"599","ENSG00000230239","BX284668.3"
"600","ENSG00000263811","MIR3675"
"601","ENSG00000228549","BX284668.2"
"602","ENSG00000238142","BX284668.5"
"603","ENSG00000235241","BX284668.4"
"604","ENSG00000207005","RNU1-2"
"605","ENSG00000272426","BX284668.6"
"606","ENSG00000117122","MFAP2"
"607","ENSG00000286898","AL049569.2"
"608","ENSG00000226526","AL049569.1"
"609","ENSG00000159363","ATP13A2"
"610","ENSG00000117118","SDHB"
"611","ENSG00000117115","PADI2"
"612","ENSG00000252180","Y_RNA"
"613","ENSG00000204362","LINC02783"
"614","ENSG00000282843","AL590644.1"
"615","ENSG00000142623","PADI1"
"616","ENSG00000142619","PADI3"
"617","ENSG00000266634","MIR3972"
"618","ENSG00000159339","PADI4"
"619","ENSG00000269468","AC004824.2"
"620","ENSG00000276747","PADI6"
"621","ENSG00000227751","RCC2-AS1"
"622","ENSG00000179051","RCC2"
"623","ENSG00000266727","AC004824.1"
"624","ENSG00000239020","snoU13"
"625","ENSG00000074964","ARHGEF10L"
"626","ENSG00000236648","LINC02810"
"627","ENSG00000117148","ACTL8"
"628","ENSG00000284653","AL357509.1"
"629","ENSG00000261781","LINC01654"
"630","ENSG00000117154","IGSF21"
"631","ENSG00000280222","AL365209.1"
"632","ENSG00000230035","IGSF21-AS1"
"633","ENSG00000225387","AL591896.1"
"634","ENSG00000179023","KLHDC7A"
"635","ENSG00000235282","DYNLL1P3"
"636","ENSG00000225478","AL031737.1"
"637","ENSG00000009709","PAX7"
"638","ENSG00000179002","TAS1R2"
"639","ENSG00000255275","RP13-279N23.2"
"640","ENSG00000159423","ALDH4A1"
"641","ENSG00000265606","MIR4695"
"642","ENSG00000221662","MIR1290"
"643","ENSG00000169991","IFFO2"
"644","ENSG00000272084","AL137127.1"
"645","ENSG00000127481","UBR4"
"646","ENSG00000266098","AL137127.1"
"647","ENSG00000230424","EMC1-AS1"
