"","filesName","TCGA_Barcode"
"e77c14e1-1e3f-4f01-992c-b1e68c365005.htseq.counts.gz","e77c14e1-1e3f-4f01-992c-b1e68c365005.htseq.counts.gz","TCGA-50-6594-01A-11R-1755-07"
"f98edf9e-796d-4eb5-b86a-8d41748279b8.htseq.counts.gz","f98edf9e-796d-4eb5-b86a-8d41748279b8.htseq.counts.gz","TCGA-62-A46P-01A-11R-A24H-07"
"7972a299-f3bb-43a5-b75f-a1cf3c998bc5.htseq.counts.gz","7972a299-f3bb-43a5-b75f-a1cf3c998bc5.htseq.counts.gz","TCGA-38-6178-01A-11R-1755-07"
"e95d6e6b-6aaf-4003-9dc6-4b464a9d1725.htseq.counts.gz","e95d6e6b-6aaf-4003-9dc6-4b464a9d1725.htseq.counts.gz","TCGA-55-6980-11A-01R-1949-07"
"c962af41-67e1-4e18-9d59-cee591ef98f9.htseq.counts.gz","c962af41-67e1-4e18-9d59-cee591ef98f9.htseq.counts.gz","TCGA-50-6595-11A-01R-1858-07"
"7f73a1b0-8b36-425c-90d6-c1daf18e4a18.htseq.counts.gz","7f73a1b0-8b36-425c-90d6-c1daf18e4a18.htseq.counts.gz","TCGA-86-A4JF-01A-11R-A24X-07"
"c763a179-e1ba-43a6-b34f-cbe73098e535.htseq.counts.gz","c763a179-e1ba-43a6-b34f-cbe73098e535.htseq.counts.gz","TCGA-49-6742-01A-11R-1858-07"
"d14e0a59-4f3a-4d92-9a54-82925bd470aa.htseq.counts.gz","d14e0a59-4f3a-4d92-9a54-82925bd470aa.htseq.counts.gz","TCGA-49-4505-01A-01R-1206-07"
"df652972-6474-474a-9745-4b58fff68744.htseq.counts.gz","df652972-6474-474a-9745-4b58fff68744.htseq.counts.gz","TCGA-55-8203-01A-11R-2241-07"
"994ba708-9a28-4e86-8dc0-f3626cb26b1e.htseq.counts.gz","994ba708-9a28-4e86-8dc0-f3626cb26b1e.htseq.counts.gz","TCGA-MN-A4N4-01A-12R-A24X-07"
"a3582f2d-7af3-45b4-9059-c1a9cb740b4e.htseq.counts.gz","a3582f2d-7af3-45b4-9059-c1a9cb740b4e.htseq.counts.gz","TCGA-93-8067-01A-11R-2287-07"
"a12ff0ad-8580-4cec-9e63-1175335f0316.htseq.counts.gz","a12ff0ad-8580-4cec-9e63-1175335f0316.htseq.counts.gz","TCGA-53-7626-01A-12R-2066-07"
"a571b078-2572-4b5a-b9be-52ad05085e1c.htseq.counts.gz","a571b078-2572-4b5a-b9be-52ad05085e1c.htseq.counts.gz","TCGA-44-8119-01A-11R-2241-07"
"27b42f71-0ef6-4774-85cc-3c8b32e55732.htseq.counts.gz","27b42f71-0ef6-4774-85cc-3c8b32e55732.htseq.counts.gz","TCGA-99-8032-01A-11R-2241-07"
"99ca2aaa-bc66-4673-843b-ddbabe680a12.htseq.counts.gz","99ca2aaa-bc66-4673-843b-ddbabe680a12.htseq.counts.gz","TCGA-75-5125-01A-01R-1755-07"
"f326a1fb-da0a-455b-8d52-c79c40274549.htseq.counts.gz","f326a1fb-da0a-455b-8d52-c79c40274549.htseq.counts.gz","TCGA-86-8054-01A-11R-2241-07"
